ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
SEC04039;1;2007-01-15;18;5;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;18/10/2022;1;1;1;NO APLICA;2
SEC04040;2;2007-05-09;18;5;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;24/10/2022;1;1;1;NO APLICA;2
SEC04041;1;2008-12-17;16;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;ALTO DE LA ALIANZA;24/03/2023;1;1;2;2025-05-09;2
SEC04042;2;2009-09-13;15;4;PERÚ;2;EDUCADORES DE CALLE;PUNO;SAN ROMAN;JULIACA;14/03/2024;1;1;1;NO APLICA;2
SEC04043;2;2012-11-14;12;4;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;8/04/2022;1;2;1;NO APLICA;1
SEC04044;2;2013-11-09;11;3;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;TACNA;14/09/2023;1;1;1;NO APLICA;2
SEC04045;2;2014-01-07;11;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;18/10/2022;1;1;1;NO APLICA;2
SEC04046;2;2014-09-03;10;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;23/07/2022;1;1;1;NO APLICA;2
SEC04047;2;2015-01-05;10;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;7/09/2023;1;1;1;NO APLICA;2
SEC04048;1;2015-06-19;10;3;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;TACNA;25/08/2019;1;1;1;NO APLICA;1
SEC04049;1;2015-10-31;9;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;26/04/2023;1;1;1;NO APLICA;2
