ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
8******1CLY;2;2015-11-12;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-12-03;1;1;1;NO APLICA;2
6******0CCH;1;2014-04-25;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-10;1;1;1;NO APLICA;2
6******7CC ;2;2008-03-18;16;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-01-30;1;1;1;NO APLICA;2
8******4CCF;2;2013-09-26;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-08-23;1;1;1;NO APLICA;2
6******1DMY;2;2007-12-30;17;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-09-09;1;1;2;2025-01-28;2
7******9DNR;2;2016-07-26;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-07-09;1;1;1;NO APLICA;2
7******6DMD;2;2016-11-24;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;Abancay;ABANCAY;2025-01-08;1;1;1;NO APLICA;2
6******5DAR;2;2008-08-03;16;4;PERÚ;1;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-11-04;1;1;1;NO APLICA;2
6******7DCM;2;2007-12-14;17;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-13;1;1;1;NO APLICA;2
7******0DCJ;1;2015-07-14;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-07-26;1;1;1;NO APLICA;2
9******9DCA;1;2017-02-16;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-07-26;1;1;1;NO APLICA;2
6******3ELH;1;2010-06-05;14;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-10-20;1;1;1;NO APLICA;2
9******7EPJ;1;2017-02-26;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-06-18;1;1;1;NO APLICA;2
7******8EQY;1;2015-09-23;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-11-20;1;1;1;NO APLICA;2
