ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
SEC07012;1;2018-03-28;7;3;PERÚ;2;EDUCADORES DE CALLE;CAJAMARCA;CAJAMARCA;CAJAMARCA;2024-04-22;1;1;1;NO APLICA;2
SEC07013;1;2012-03-21;13;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LIMA;2025-07-19;1;1;1;NO APLICA;2
SEC07014;2;2013-01-14;12;4;PERÚ;2;EDUCADORES DE CALLE;CAJAMARCA;JAÉN;JAÉN;2025-05-27;1;1;1;NO APLICA;2
SEC07015;2;2017-08-03;8;3;PERÚ;2;EDUCADORES DE CALLE;CAJAMARCA;JAÉN;JAÉN;2025-05-27;1;1;1;NO APLICA;2
SEC07016;1;2012-01-07;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-03-21;1;1;1;NO APLICA;2
SEC07017;1;2007-03-13;18;5;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-01;1;1;1;NO APLICA;2
SEC07018;1;2009-07-26;16;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-11;1;1;1;NO APLICA;2
SEC07019;2;2014-12-04;10;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;2025-01-24;1;1;1;NO APLICA;2
SEC07020;2;2016-07-19;9;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;2025-01-24;1;1;1;NO APLICA;2
SEC07021;1;2012-11-14;12;4;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;CERRO COLORADO;2025-04-16;1;2;1;NO APLICA;2
SEC07022;1;2011-03-22;14;4;PERÚ;2;EDUCADORES DE CALLE;HUÁNUCO;HUÁNUCO;HUÁNUCO;2022-04-29;1;1;2;2025-05-26;2
SEC07023;1;2015-04-23;10;3;PERÚ;2;EDUCADORES DE CALLE;HUÁNUCO;HUÁNUCO;HUÁNUCO;2025-08-25;1;1;1;NO APLICA;2
SEC07024;1;2016-02-20;9;3;PERÚ;2;EDUCADORES DE CALLE;PASCO;PASCO;SIMON BOLIVAR;2024-03-25;1;1;1;NO APLICA;2
SEC07025;1;2013-02-01;12;4;PERÚ;2;EDUCADORES DE CALLE;HUÁNUCO;HUÁNUCO;HUÁNUCO;2022-04-29;1;1;2;2025-05-26;2
SEC07026;2;2012-06-13;13;4;PERÚ;2;EDUCADORES DE CALLE;PASCO;PASCO;SIMON BOLIVAR;2024-03-25;1;1;1;NO APLICA;2
SEC07027;1;2008-09-19;16;4;PERÚ;1;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-19;1;1;1;NO APLICA;2
SEC07028;1;2012-05-22;13;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CORONEL GREGORIO ALBARRACIN LANCHIPA;2023-03-15;1;1;2;2025-03-25;2
SEC07029;1;2014-03-07;11;3;PERÚ;2;EDUCADORES DE CALLE;LA LIBERTAD;TRUJILLO;TRUJILLO;2024-09-24;1;1;1;NO APLICA;2
SEC07030;2;2012-01-09;13;4;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;2022-10-20;1;1;2;2025-05-26;2
